date,site_name,solar_generation_mw,wind_generation_mw,total_generation_mw,renewable_energy_mwh,co2_avoided_kg,coal_saved_kg,trees_equivalent,co2_avoided_tons,coal_saved_tons,trees_equivalent_million
2021-06-23,Khavda Renewable Energy Park,132.5559125572088,5.557060185185184,138.112972742394,138.11,113252.64,69056.49,5147.85,113.25,69.06,0.01
2021-06-24,Khavda Renewable Energy Park,128.5644241317436,15.363511659807951,143.92793579155156,143.93,118020.91,71963.97,5364.59,118.02,71.96,0.01
2021-06-25,Khavda Renewable Energy Park,116.58096944894396,17.28186117969822,133.8628306286422,133.86,109767.52,66931.42,4989.43,109.77,66.93,0.0
2021-06-26,Khavda Renewable Energy Park,109.8044295884448,10.116918518518522,119.92134810696332,119.92,98335.51,59960.67,4469.8,98.34,59.96,0.0
2021-06-27,Khavda Renewable Energy Park,126.98664572087998,2.19153988340192,129.1781856042819,129.18,105926.11,64589.09,4814.82,105.93,64.59,0.0
2021-06-28,Khavda Renewable Energy Park,91.7902122653736,3.8415999999999983,95.6318122653736,95.63,78418.09,47815.91,3564.46,78.42,47.82,0.0
2021-06-29,Khavda Renewable Energy Park,103.5367447014912,4.992391117969823,108.529135819461,108.53,88993.89,54264.57,4045.18,88.99,54.26,0.0
2021-06-30,Khavda Renewable Energy Park,140.10427552732602,32.59866968449931,172.70294521182535,172.7,141616.42,86351.47,6437.11,141.62,86.35,0.01
2021-07-01,Khavda Renewable Energy Park,77.122077778438,67.45814900548699,144.580226783925,144.58,118555.79,72290.11,5388.9,118.56,72.29,0.01
2021-07-02,Khavda Renewable Energy Park,72.81224499281039,43.067318518518526,115.87956351132893,115.88,95021.24,57939.78,4319.15,95.02,57.94,0.0
2021-07-03,Khavda Renewable Energy Park,110.53683163775996,25.56498518518519,136.10181682294515,136.1,111603.49,68050.91,5072.89,111.6,68.05,0.01
2021-07-04,Khavda Renewable Energy Park,102.334985220468,7.4318932784636464,109.76687849893166,109.77,90008.84,54883.44,4091.31,90.01,54.88,0.0
2021-07-05,Khavda Renewable Energy Park,116.3961238519024,3.31851851851852,119.7146423704209,119.71,98166.01,59857.32,4462.09,98.17,59.86,0.0
2021-07-06,Khavda Renewable Energy Park,118.719169031232,4.416948148148145,123.13611717938016,123.14,100971.62,61568.06,4589.62,100.97,61.57,0.0
2021-07-07,Khavda Renewable Energy Park,139.8394503779328,10.116918518518522,149.95636889645132,149.96,122964.22,74978.18,5589.28,122.96,74.98,0.01
2021-07-08,Khavda Renewable Energy Park,73.61084366078522,17.28186117969822,90.89270484048345,90.89,74532.02,45446.35,3387.82,74.53,45.45,0.0
2021-07-09,Khavda Renewable Energy Park,50.076706223174405,6.10031851851852,56.177024741692925,56.18,46065.16,28088.51,2093.87,46.07,28.09,0.0
2021-07-10,Khavda Renewable Energy Park,81.04172312653121,0.5034315500685874,81.5451546765998,81.55,66867.03,40772.58,3039.41,66.87,40.77,0.0
2021-07-11,Khavda Renewable Energy Park,65.78112864179998,0.6308814814814814,66.41201012328146,66.41,54457.85,33206.01,2475.36,54.46,33.21,0.0
2021-07-12,Khavda Renewable Energy Park,49.28258094391501,0.00031951303155,49.28290045694656,49.28,40411.98,24641.45,1836.91,40.41,24.64,0.0
2021-07-13,Khavda Renewable Energy Park,56.0596200600128,1.544718518518519,57.604338578531326,57.6,47235.56,28802.17,2147.07,47.24,28.8,0.0
