date,temperature_c,humidity_pct,wind_speed_ms,solar_radiation_kwh_m2_day,rainfall_mm,cloud_cover_pct,site_name,latitude,longitude,data_source,load_timestamp
2021-06-23,31.66,61.53,5.85,6.2434,0.01,34.47,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-06-24,31.54,62.0,7.0,6.2933,0.03,39.53,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-06-25,31.6,62.0,7.16,6.0996,0.02,47.69,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-06-26,31.76,62.52,6.48,5.8889,0.0,50.52,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-06-27,32.32,58.05,5.09,6.606,0.0,46.65,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-06-28,32.89,55.73,5.52,6.2604,0.05,74.91,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-06-29,33.02,55.49,5.75,6.3442,0.0,64.48,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-06-30,32.7,57.74,8.14,6.7363,0.0,36.61,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-01,32.53,60.62,9.55,5.537,15.44,79.63,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-02,29.93,75.15,8.64,5.2207,66.64,80.44,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-03,30.45,70.03,7.74,5.6568,0.0,45.6,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-04,30.8,68.42,6.14,5.6693,0.0,54.67,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-05,30.48,68.64,5.4,5.8138,0.01,42.61,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-06,30.44,66.96,5.64,5.724,0.0,38.17,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-07,30.19,66.54,6.48,6.2208,0.0,27.54,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-08,30.77,66.71,7.16,5.3614,0.0,81.49,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-09,30.83,70.21,5.94,3.5462,0.02,79.04,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-10,31.56,67.24,4.28,5.1319,0.03,68.38,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-11,30.95,72.31,4.38,5.5438,15.09,93.0,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-12,30.05,80.81,3.11,4.3205,8.9,96.11,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-13,32.26,70.89,4.86,4.7218,6.22,92.56,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-14,31.54,71.31,5.33,6.1586,2.57,72.36,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-15,31.63,76.28,1.9,5.6906,15.61,79.22,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-16,32.69,70.98,3.48,5.8517,6.55,73.28,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-17,31.3,74.91,5.74,5.4024,1.41,72.61,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-18,30.16,75.8,7.2,5.2294,0.1,83.16,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-19,30.51,73.21,8.75,3.5794,0.42,94.61,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-20,30.03,73.37,9.97,2.7475,0.65,85.61,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-21,30.51,71.32,9.74,3.9077,0.13,40.33,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-22,31.23,70.32,6.77,3.9283,0.0,72.96,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-23,30.97,71.65,5.92,4.6723,1.35,78.21,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-24,30.02,75.92,5.91,2.3285,10.49,98.8,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-25,29.66,78.59,6.78,4.6562,4.62,94.89,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-26,28.99,76.06,8.83,3.391,4.17,97.96,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-27,29.37,74.33,9.22,3.011,0.42,99.46,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-28,29.6,72.67,9.88,2.225,0.04,99.23,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-29,28.93,74.63,10.25,2.8214,0.89,99.0,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-30,29.63,71.68,9.44,3.1586,0.01,59.43,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-07-31,29.52,71.24,9.86,3.0756,0.05,68.9,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-01,29.09,72.95,9.53,3.3989,0.06,93.08,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-02,29.33,72.54,8.21,2.8692,0.22,95.01,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-03,29.22,73.46,7.29,3.9924,0.06,98.07,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-04,30.04,70.58,6.91,4.2751,0.0,80.92,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-05,29.94,69.42,6.02,5.7478,0.0,59.52,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-06,30.25,68.92,5.44,4.9114,0.0,84.24,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-07,30.68,67.37,5.12,5.154,0.0,55.37,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-08,30.18,66.72,5.13,5.4535,0.0,45.8,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-09,29.68,67.05,5.5,4.7698,0.0,61.65,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-10,29.45,66.48,5.88,5.3227,0.01,50.18,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-11,29.53,67.32,6.64,4.6903,0.02,65.06,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-12,29.98,67.2,6.21,5.1521,0.0,86.35,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-13,30.0,67.55,6.12,5.131,0.0,65.9,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-14,29.82,66.65,7.26,5.7396,0.0,48.43,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-15,30.27,65.62,6.56,5.6947,0.0,31.34,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-16,30.66,63.74,4.76,5.2882,0.0,44.33,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-17,30.76,61.29,4.75,6.229,0.0,43.34,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-18,30.65,59.93,5.77,6.0336,0.0,46.39,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-19,30.22,60.57,6.38,6.4776,0.01,40.22,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-20,30.82,60.39,5.85,6.3331,0.05,41.83,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-21,29.83,63.79,5.13,5.3868,0.39,83.33,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-22,30.03,63.4,5.07,4.098,0.05,87.29,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-23,31.18,63.0,5.76,5.9431,0.0,46.89,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-24,31.23,62.57,6.94,6.0223,0.0,56.14,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-25,30.68,61.99,7.9,4.7383,0.0,66.35,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-26,30.55,60.48,7.96,4.9822,0.0,82.52,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-27,30.79,62.35,6.61,5.3537,0.0,53.26,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-28,30.64,60.53,5.13,5.4554,0.0,36.71,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-29,30.59,59.39,4.53,4.9685,0.0,48.51,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-30,30.28,60.14,2.92,4.4705,0.04,76.73,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-08-31,31.21,61.98,3.82,4.386,9.79,87.25,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-01,29.01,80.39,3.42,3.7224,26.17,98.89,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
