date,site_name,total_generation_mw,predicted_total_generation_mw,daily_revenue_inr,revenue_at_risk_inr,co2_avoided_tons,coal_saved_tons,trees_equivalent_million,overall_risk_level,risk_alert,active_high_risk_factors,ai_insight
2021-06-23,Khavda Renewable Energy Park,138.112972742394,0.0,621508.38,6215.08,0.0,0.0,0.0,LOW,NONE,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-06-24,Khavda Renewable Energy Park,143.92793579155156,0.0,647675.71,6476.76,0.0,0.0,0.0,LOW,NONE,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-06-25,Khavda Renewable Energy Park,133.8628306286422,0.0,602382.74,6023.83,0.0,0.0,0.0,LOW,NONE,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-06-26,Khavda Renewable Energy Park,119.92134810696332,0.0,539646.07,5396.46,0.0,0.0,0.0,LOW,NONE,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-06-27,Khavda Renewable Energy Park,129.1781856042819,0.0,581301.84,5813.02,0.0,0.0,0.0,LOW,NONE,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-06-28,Khavda Renewable Energy Park,95.6318122653736,0.0,430343.16,21517.16,0.0,0.0,0.0,LOW,NONE,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-06-29,Khavda Renewable Energy Park,108.529135819461,0.0,488381.11,4883.81,0.0,0.0,0.0,LOW,NONE,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-06-30,Khavda Renewable Energy Park,172.70294521182535,0.0,777163.25,7771.63,0.0,0.0,0.0,LOW,NONE,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-07-01,Khavda Renewable Energy Park,144.580226783925,0.0,650611.02,32530.55,0.0,0.0,0.0,LOW,NONE,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-07-02,Khavda Renewable Energy Park,115.87956351132893,0.0,521458.04,52145.8,0.0,0.0,0.0,LOW,NONE,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-07-03,Khavda Renewable Energy Park,136.10181682294515,0.0,612458.18,6124.58,0.0,0.0,0.0,LOW,NONE,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-07-04,Khavda Renewable Energy Park,109.76687849893166,0.0,493950.95,4939.51,25.23,15.38,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-07-05,Khavda Renewable Energy Park,119.7146423704209,0.0,538715.89,5387.16,34.14,20.81,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-07-06,Khavda Renewable Energy Park,123.13611717938016,0.0,554112.53,5541.13,39.59,24.14,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-07-07,Khavda Renewable Energy Park,149.95636889645132,0.0,674803.66,6748.04,61.57,37.54,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-07-08,Khavda Renewable Energy Park,90.89270484048345,0.0,409017.17,20450.86,17.2,10.49,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-09,Khavda Renewable Energy Park,56.177024741692925,0.0,252796.61,12639.83,7.66,4.67,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-10,Khavda Renewable Energy Park,81.5451546765998,0.0,366953.2,3669.53,8.89,5.42,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
