date,solar_generation_mw,wind_generation_mw,total_generation_mw,dam_price_rs_mwh,dam_price_rs_kwh,rtm_price_rs_mwh,rtm_price_rs_kwh,revenue_inr,solar_revenue_inr,wind_revenue_inr,revenue_lakhs,revenue_crores,month,year
2021-07-04,23.33278590354189,7.4318932784636464,30.764679182005537,3159.64,3.16,3632.31,3.63,97205.31,73723.2,23482.11,0.9721,0.009721,2021-07,2021
2021-07-05,38.31068263623288,3.31851851851852,41.62920115475141,3267.45,3.27,3408.02,3.41,136021.33,125178.24,10843.09,1.3602,0.013602,2021-07,2021
2021-07-06,43.85811195266248,4.416948148148145,48.27506010081062,3889.4,3.89,3862.23,3.86,187761.02,170581.74,17179.28,1.8776,0.018776,2021-07,2021
2021-07-07,64.96474305651577,10.116918518518522,75.08166157503429,3980.42,3.98,3807.05,3.81,298856.55,258586.96,40269.58,2.9886,0.029886,2021-07,2021
2021-07-08,3.699653785367463,17.28186117969822,20.981514965065685,3811.76,3.81,3974.45,3.97,79976.5,14102.19,65874.31,0.7998,0.007998,2021-07,2021
2021-07-09,3.236529367635855,6.10031851851852,9.336847886154375,3834.09,3.83,3837.75,3.84,35798.32,12409.14,23389.17,0.358,0.00358,2021-07,2021
2021-07-10,10.339011459904665,0.5034315500685874,10.842443009973252,3168.86,3.17,3267.1,3.27,34358.18,32762.88,1595.3,0.3436,0.003436,2021-07,2021
2021-07-11,0.5449219164198897,0.6308814814814814,1.1758033979013711,3478.18,3.48,3464.74,3.46,4089.66,1895.34,2194.32,0.0409,0.000409,2021-07,2021
2021-07-12,0.1344973458414709,0.00031951303155,0.134816858873021,3590.69,3.59,3411.94,3.41,484.09,482.94,1.15,0.0048,4.8e-05,2021-07,2021
2021-07-13,0.5287866673540254,1.544718518518519,2.0735051858725444,3803.35,3.8,3809.05,3.81,7886.27,2011.16,5875.11,0.0789,0.000789,2021-07,2021
2021-07-14,9.311231241199774,3.036534945130316,12.347766186330093,3923.3,3.92,3934.59,3.93,48443.99,36530.75,11913.24,0.4844,0.004844,2021-07,2021
2021-07-15,4.901456320625726,0.0,4.901456320625726,3971.99,3.97,3902.35,3.9,19468.54,19468.54,0.0,0.1947,0.001947,2021-07,2021
2021-07-16,8.269907260036826,0.0265481481481481,8.296455408184974,2990.18,2.99,3085.12,3.09,24807.9,24728.51,79.38,0.2481,0.002481,2021-07,2021
2021-07-17,8.137601186475543,4.938126474622771,13.075727661098313,4020.45,4.02,4211.83,4.21,52570.31,32716.82,19853.49,0.5257,0.005257,2021-07,2021
2021-07-18,3.001856452982102,17.785185185185185,20.78704163816729,3864.84,3.86,3613.24,3.61,80338.59,11601.69,68736.9,0.8034,0.008034,2021-07,2021
2021-07-19,0.2162122246725771,45.6366812414266,45.852893466099175,3357.31,3.36,3628.62,3.63,153942.38,725.89,153216.49,1.5394,0.015394,2021-07,2021
2021-07-20,1.2020496202118118,81.28470888203019,82.486758502242,3529.81,3.53,3872.37,3.87,291162.59,4243.01,286919.58,2.9116,0.029116,2021-07,2021
2021-07-21,28.76754794905113,73.50048587105624,102.26803382010738,4563.27,4.56,3921.84,3.92,466676.65,131274.09,335402.56,4.6668,0.046668,2021-07,2021
2021-07-22,5.9179097967774,12.86277198216735,18.78068177894475,3708.24,3.71,3777.72,3.78,69643.28,21945.03,47698.25,0.6964,0.006964,2021-07,2021
2021-07-23,4.517882512069166,5.97666721536351,10.494549727432675,4042.16,4.04,3621.88,3.62,42420.65,18262.0,24158.65,0.4242,0.004242,2021-07,2021
2021-07-24,0.0071341839347996,5.915473148148149,5.922607332082949,3129.35,3.13,3255.84,3.26,18533.91,22.33,18511.59,0.1853,0.001853,2021-07,2021
2021-07-25,0.2491127704017859,12.9654,13.214512770401786,3694.14,3.69,3590.64,3.59,48816.26,920.26,47896.0,0.4882,0.004882,2021-07,2021
